neighbourhood,xposition,yposition
Barnet,300,120
Enfield,425,50
Hillingdon,60,200
Harrow,180,150
Brent,240,210
Ealing,160,280
Hounslow,90,425
Richmond upon Thames,180,475
Haringey,400,195
Waltham Forest,520,145
Redbridge,600,170
Havering,740,160
Barking and Dagenham,690,240
Bexley,710,370
Greenwich,590,370
Newham,590,310
Bromley,600,550
Croydon,430,620
Sutton,360,590
Merton,360,500
Wandsworth,340,420
Lambeth,410,400
Southwark,460,400
Lewisham,510,405
Tower Hamlets,490,295
Hammersmith and Fulham,320,380
Kensington and Chelsea,320,330
Westminster,355,305
Camden,355,245
Islington,415,250
Hackney,455,225
City of London,435,310
Kingston upon Thames,235,545